@format:idx,R,R,P,P,P,P,tmin,tmax,rate
@common:user_Auv,user_alb,user_xi,user_AuvAv,user_rbinscale,user_rscale,user_Gstar,user_Auv_star,user_Gcomp,user_Auv_comp
1241,NaCl,,Na,Cl,,,1.00e+01,4.10e+04,1.30e-17 * (Tgas / 3.0e2)**(0.00) * (1./(1.-user_alb)) * (90.00)
1242,CH3SH,,CH3,HS,,,1.00e+01,4.10e+04,1.30e-17 * (Tgas / 3.0e2)**(0.00) * (1./(1.-user_alb)) * (1350.00)
1243,CH3SH,,CH3SH+,E,,,1.00e+01,4.10e+04,1.30e-17 * (Tgas / 3.0e2)**(0.00) * (1./(1.-user_alb)) * (1000.00)
1244,HOCHCHOH,,H2CO,H2CO,,,1.00e+01,4.10e+04,1.30e-17 * (Tgas / 3.0e2)**(0.00) * (1./(1.-user_alb)) * (750.00)
1245,HCCO,,C2O,H,,,1.00e+01,4.10e+04,1.30e-17 * (Tgas / 3.0e2)**(0.00) * (1./(1.-user_alb)) * (750.00)
1246,HCCN,,C2N,H,,,1.00e+01,4.10e+04,1.30e-17 * (Tgas / 3.0e2)**(0.00) * (1./(1.-user_alb)) * (750.00)
1247,CH3CHCHCN,,CH3CCH,HCN,,,1.00e+01,4.10e+04,1.30e-17 * (Tgas / 3.0e2)**(0.00) * (1./(1.-user_alb)) * (375.00)
1248,CH3CHCHCN,,CH2CCH2,HCN,,,1.00e+01,4.10e+04,1.30e-17 * (Tgas / 3.0e2)**(0.00) * (1./(1.-user_alb)) * (375.00)
1249,HC4N,,C4N,H,,,1.00e+01,4.10e+04,1.30e-17 * (Tgas / 3.0e2)**(0.00) * (1./(1.-user_alb)) * (375.00)
1250,HC4N,,C3N,CH,,,1.00e+01,4.10e+04,1.30e-17 * (Tgas / 3.0e2)**(0.00) * (1./(1.-user_alb)) * (375.00)
1251,C5H4CCH2,,CH3C4H,C2H2,,,1.00e+01,4.10e+04,1.30e-17 * (Tgas / 3.0e2)**(0.00) * (1./(1.-user_alb)) * (375.00)
1252,C5H4CCH2,,C5H5,C2H,,,1.00e+01,4.10e+04,1.30e-17 * (Tgas / 3.0e2)**(0.00) * (1./(1.-user_alb)) * (375.00)
1253,CH2CHCHO,,C2H3,HCO,,,1.00e+01,4.10e+04,1.30e-17 * (Tgas / 3.0e2)**(0.00) * (1./(1.-user_alb)) * (375.00)
1254,CH2CHCHO,,C2H2,H2CO,,,1.00e+01,4.10e+04,1.30e-17 * (Tgas / 3.0e2)**(0.00) * (1./(1.-user_alb)) * (375.00)
1255,HCCNC,,CN,C2H,,,1.00e+01,4.10e+04,1.30e-17 * (Tgas / 3.0e2)**(0.00) * (1./(1.-user_alb)) * (2950.00)
1256,HC4S,,C4S,H,,,1.00e+01,4.10e+04,1.30e-17 * (Tgas / 3.0e2)**(0.00) * (1./(1.-user_alb)) * (750.00)
1257,C6H5CCH,,C6H5,C2H,,,1.00e+01,3.00e+03,1.30e-17 * (Tgas / 3.0e2)**(0.00) * (1./(1.-user_alb)) * (375.00)
1258,C5H5CCH,,C5H5,C2H,,,1.00e+01,3.00e+03,1.30e-17 * (Tgas / 3.0e2)**(0.00) * (1./(1.-user_alb)) * (375.00)
1259,NC4N,,C2N,C2N,,,1.00e+01,4.10e+04,1.30e-17 * (Tgas / 3.0e2)**(0.00) * (1./(1.-user_alb)) * (500.00)
1260,C10+,E,C8,C2,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1261,C10+,E,C9,C,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1262,C10H+,E,C10,H,,,1.00e+01,4.10e+04,1.53e-06 * (Tgas / 3.0e2)**(-0.30)
1263,C10H+,E,C5H,C5,,,1.00e+01,4.10e+04,5.40e-08 * (Tgas / 3.0e2)**(-0.30)
1264,C10H+,E,C7H,C3,,,1.00e+01,4.10e+04,3.92e-07 * (Tgas / 3.0e2)**(-0.30)
1265,C10H2+,E,C10H,H,,,1.00e+01,4.10e+04,1.35e-06 * (Tgas / 3.0e2)**(-0.30)
1266,C10H3+,E,C10H2,H,,,1.00e+01,4.10e+04,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1267,C10H3+,E,C9H2,C,H,,1.00e+01,4.10e+04,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1268,C11+,E,C6,C5,,,1.00e+01,4.10e+04,8.39e-08 * (Tgas / 3.0e2)**(-0.30)
1269,C11+,E,C7,C4,,,1.00e+01,4.10e+04,2.66e-08 * (Tgas / 3.0e2)**(-0.30)
1270,C11+,E,C8,C3,,,1.00e+01,4.10e+04,1.20e-06 * (Tgas / 3.0e2)**(-0.30)
1271,C11+,E,C9,C2,,,1.00e+01,4.10e+04,6.76e-07 * (Tgas / 3.0e2)**(-0.30)
1272,C2+,E,C,C,,,1.00e+01,3.00e+02,3.00e-07 * (Tgas / 3.0e2)**(-0.50)
1273,C2H+,E,C2,H,,,1.00e+01,3.00e+02,1.16e-07 * (Tgas / 3.0e2)**(-0.76)
1274,C2H+,E,CH,C,,,1.00e+01,3.00e+02,1.53e-07 * (Tgas / 3.0e2)**(-0.76)
1275,C2H2+,E,C2,H,H,,1.00e+01,3.00e+02,9.00e-08 * (Tgas / 3.0e2)**(-0.50)
1276,C2H2+,E,C2H,H,,,1.00e+01,3.00e+02,9.00e-08 * (Tgas / 3.0e2)**(-0.50)
1277,C2H2+,E,CH,CH,,,1.00e+01,3.00e+02,9.00e-08 * (Tgas / 3.0e2)**(-0.50)
1278,C2H3+,E,C2,H,H2,,5.00e+01,1.00e+03,1.50e-08 * (Tgas / 3.0e2)**(-0.84)
1279,C2H3+,E,C2H2,H,,,5.00e+01,1.00e+03,1.45e-07 * (Tgas / 3.0e2)**(-0.84)
1280,C2H3+,E,C2H,H2,,,5.00e+01,1.00e+03,3.00e-08 * (Tgas / 3.0e2)**(-0.84)
1281,C2H3+,E,C2H,H,H,,5.00e+01,1.00e+03,2.95e-07 * (Tgas / 3.0e2)**(-0.84)
1282,C2H3+,E,CH2,CH,,,5.00e+01,1.00e+03,1.50e-08 * (Tgas / 3.0e2)**(-0.84)
1283,C2H3+,E,CH3,C,,,5.00e+01,1.00e+03,3.00e-09 * (Tgas / 3.0e2)**(-0.84)
1284,C2H4+,E,C2H2,H2,,,1.00e+01,3.00e+02,3.36e-08 * (Tgas / 3.0e2)**(-0.76)
1285,C2H4+,E,C2H2,H,H,,1.00e+01,3.00e+02,3.70e-07 * (Tgas / 3.0e2)**(-0.76)
1286,C2H4+,E,C2H3,H,,,1.00e+01,3.00e+02,6.16e-08 * (Tgas / 3.0e2)**(-0.76)
1287,C2H4+,E,C2H,H2,H,,1.00e+01,3.00e+02,5.60e-08 * (Tgas / 3.0e2)**(-0.76)
1288,C2H4+,E,CH2,CH2,,,1.00e+01,3.00e+02,2.24e-08 * (Tgas / 3.0e2)**(-0.76)
1289,C2H4+,E,CH3,CH,,,1.00e+01,3.00e+02,1.12e-08 * (Tgas / 3.0e2)**(-0.76)
1290,C2H4+,E,CH4,C,,,1.00e+01,3.00e+02,5.60e-09 * (Tgas / 3.0e2)**(-0.76)
1291,C2H5+,E,C2H2,H2,H,,1.00e+01,3.00e+02,8.12e-08 * (Tgas / 3.0e2)**(-0.79)
1292,C2H5+,E,C2H2,H,H,H,1.00e+01,3.00e+02,3.64e-08 * (Tgas / 3.0e2)**(-0.79)
1293,C2H5+,E,C2H3,H,H,,1.00e+01,3.00e+02,7.56e-08 * (Tgas / 3.0e2)**(-0.79)
1294,C2H5+,E,C2H4,H,,,1.00e+01,3.00e+02,3.36e-08 * (Tgas / 3.0e2)**(-0.79)
1295,C2H5+,E,CH3,CH2,,,1.00e+01,3.00e+02,4.76e-08 * (Tgas / 3.0e2)**(-0.79)
1296,C2H5CNH+,E,C2H4,HNC,H,,1.00e+01,1.00e+03,2.06e-07 * (Tgas / 3.0e2)**(-0.76)
1297,C2H5CNH+,E,C2H5CN,H,,,1.00e+01,1.00e+03,6.32e-07 * (Tgas / 3.0e2)**(-0.76)
1298,C2H5CNH+,E,CH3,CH2CN,H,,1.00e+01,1.00e+03,6.32e-07 * (Tgas / 3.0e2)**(-0.76)
1299,C2H5OH+,E,C2H5,OH,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1300,C2H5OH+,E,H2CO,CH4,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1301,C2H5OH2+,E,C2H4,H2O,H,,1.00e+01,1.00e+03,5.90e-07 * (Tgas / 3.0e2)**(-0.73)
1302,C2H5OH2+,E,C2H5,H2O,,,1.00e+01,1.00e+03,5.90e-07 * (Tgas / 3.0e2)**(-0.73)
1303,C2H5OH2+,E,C2H5,OH,H,,1.00e+01,1.00e+03,5.90e-07 * (Tgas / 3.0e2)**(-0.73)
1304,C2H5OH2+,E,C2H5OH,H,,,1.00e+01,1.00e+03,1.30e-07 * (Tgas / 3.0e2)**(-0.73)
1305,C2H7+,E,C2H5,H2,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1306,C2H7+,E,CH3CH3,H,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1307,C2N+,E,C2,N,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1308,C2N+,E,CN,C,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1309,C2N2+,E,C2N,N,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1310,C2N2+,E,CN,CN,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1311,C2NH+,E,C2N,H,,,1.00e+01,3.00e+02,3.00e-07 * (Tgas / 3.0e2)**(-0.50)
1312,C2O+,E,CO,C,,,1.00e+01,3.00e+02,3.00e-07 * (Tgas / 3.0e2)**(-0.50)
1313,C2S+,E,CS,C,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1314,C2S+,E,S,C2,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1315,C3+,E,C2,C,,,1.00e+01,3.00e+02,3.00e-07 * (Tgas / 3.0e2)**(-0.50)
1316,C3H+,E,C2H,C,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1317,C3H+,E,C3,H,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1318,C3H2+,E,C2,CH2,,,1.00e+01,3.00e+02,3.00e-08 * (Tgas / 3.0e2)**(-0.50)
1319,C3H2+,E,C2H2,C,,,1.00e+01,3.00e+02,3.00e-08 * (Tgas / 3.0e2)**(-0.50)
1320,C3H2+,E,C3,H2,,,1.00e+01,3.00e+02,6.00e-08 * (Tgas / 3.0e2)**(-0.50)
1321,C3H2+,E,C3,H,H,,1.00e+01,3.00e+02,6.00e-08 * (Tgas / 3.0e2)**(-0.50)
1322,C3H2+,E,C3H,H,,,1.00e+01,3.00e+02,3.00e-07 * (Tgas / 3.0e2)**(-0.50)
1323,HC3OH+,E,C3O,H,H,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1324,HC3OH+,E,CO,C2H2,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1325,C3H3+,E,C3H2,H,,,1.00e+01,3.00e+02,7.00e-07 * (Tgas / 3.0e2)**(-0.50)
1326,C3H4+,E,C2H3,CH,,,1.00e+01,3.00e+02,4.40e-08 * (Tgas / 3.0e2)**(-0.67)
1327,C3H4+,E,CH2CCH,H,,,1.00e+01,3.00e+02,2.56e-06 * (Tgas / 3.0e2)**(-0.67)
1328,C3H4+,E,CH3,C2H,,,1.00e+01,3.00e+02,2.60e-07 * (Tgas / 3.0e2)**(-0.67)
1329,C3H4+,E,H2CCC,H,H,,1.00e+01,3.00e+02,1.48e-07 * (Tgas / 3.0e2)**(-0.67)
1330,C3H5+,E,CH2CCH,H2,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1331,C3H5+,E,CH3CCH,H,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1332,C3H6+,E,CH2CCH,H2,H,,1.00e+01,3.00e+02,1.00e-07 * (Tgas / 3.0e2)**(-0.50)
1333,C3H6+,E,CH3CCH,H2,,,1.00e+01,3.00e+02,1.00e-07 * (Tgas / 3.0e2)**(-0.50)
1334,C3H6+,E,C3H5,H,,,1.00e+01,3.00e+02,1.00e-07 * (Tgas / 3.0e2)**(-0.50)
1335,C3H7+,E,C2H2,CH3,H2,,1.00e+01,3.00e+02,2.53e-08 * (Tgas / 3.0e2)**(-0.73)
1336,C3H7+,E,C2H3,CH3,H,,1.00e+01,3.00e+02,4.37e-08 * (Tgas / 3.0e2)**(-0.73)
1337,C3H7+,E,C2H4,CH2,H,,1.00e+01,3.00e+02,9.20e-09 * (Tgas / 3.0e2)**(-0.73)
1338,C3H7+,E,CH2CCH2,H2,H,,1.00e+01,3.00e+02,3.30e-08 * (Tgas / 3.0e2)**(-0.73)
1339,C3H7+,E,CH3CCH,H2,H,,1.00e+01,3.00e+02,3.30e-08 * (Tgas / 3.0e2)**(-0.73)
1340,C3H7+,E,CH3CH3,CH,,,1.00e+01,3.00e+02,9.20e-09 * (Tgas / 3.0e2)**(-0.73)
1341,C3H7+,E,CH3CHCH2,H,,,1.00e+01,3.00e+02,9.66e-08 * (Tgas / 3.0e2)**(-0.73)
1342,C3N+,E,CN,C2,,,1.00e+01,3.00e+02,3.00e-07 * (Tgas / 3.0e2)**(-0.50)
1343,C3O+,E,CO,C2,,,1.00e+01,3.00e+02,3.00e-07 * (Tgas / 3.0e2)**(-0.50)
1344,C3S+,E,C2S,C,,,1.00e+01,3.00e+02,1.00e-07 * (Tgas / 3.0e2)**(-0.50)
1345,C3S+,E,C3,S,,,1.00e+01,3.00e+02,1.00e-07 * (Tgas / 3.0e2)**(-0.50)
1346,C3S+,E,CS,C2,,,1.00e+01,3.00e+02,1.00e-07 * (Tgas / 3.0e2)**(-0.50)
1347,C4+,E,C2,C2,,,1.00e+01,3.00e+02,1.20e-07 * (Tgas / 3.0e2)**(-0.50)
1348,C4+,E,C3,C,,,1.00e+01,3.00e+02,1.80e-07 * (Tgas / 3.0e2)**(-0.50)
1349,C4H+,E,C4,H,,,1.00e+01,3.00e+02,3.00e-07 * (Tgas / 3.0e2)**(-0.50)
1350,C4H2+,E,C2H,C2H,,,1.00e+01,1.00e+03,2.75e-07 * (Tgas / 3.0e2)**(-0.79)
1351,C4H2+,E,C4H,H,,,1.00e+01,1.00e+03,8.25e-07 * (Tgas / 3.0e2)**(-0.79)
1352,C4H3+,E,C4H,H2,,,1.00e+01,3.00e+02,3.10e-07 * (Tgas / 3.0e2)**(-0.50)
1353,C4H3+,E,C4H2,H,,,1.00e+01,3.00e+02,3.10e-07 * (Tgas / 3.0e2)**(-0.50)
1354,C4H4+,E,C4H3,H,,,1.00e+01,1.00e+03,3.30e-07 * (Tgas / 3.0e2)**(-0.50)
1355,C4H5+,E,C4H,H2,H2,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1356,C4H5+,E,CH3CCH,CH,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1357,C4H5+,E,C4H2,H2,H,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1358,C4H7+,E,C4H2,H2,H2,H,1.00e+01,3.00e+02,3.00e-08 * (Tgas / 3.0e2)**(-0.50)
1359,C4H7+,E,CH2CHCHCH2,H,,,1.00e+01,3.00e+02,2.70e-07 * (Tgas / 3.0e2)**(-0.50)
1360,C4N+,E,C2N,C2,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1361,C4N+,E,C3N,C,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1362,C4P+,E,C3P,C,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1363,C4P+,E,CCP,C2,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1364,C4S+,E,C2S,C2,,,1.00e+01,3.00e+02,1.00e-07 * (Tgas / 3.0e2)**(-0.50)
1365,C4S+,E,C3S,C,,,1.00e+01,3.00e+02,1.00e-07 * (Tgas / 3.0e2)**(-0.50)
1366,C4S+,E,CS,C3,,,1.00e+01,3.00e+02,1.00e-07 * (Tgas / 3.0e2)**(-0.50)
1367,C5+,E,C3,C2,,,1.00e+01,3.00e+02,3.00e-07 * (Tgas / 3.0e2)**(-0.50)
1368,C5H+,E,C4H,C,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1369,C5H+,E,C5,H,,,1.00e+01,3.00e+02,3.00e-07 * (Tgas / 3.0e2)**(-0.50)
1370,C5H2+,E,C5,H2,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1371,C5H2+,E,C5H,H,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1372,C5H3+,E,C5H2,H,,,1.00e+01,3.00e+02,4.50e-07 * (Tgas / 3.0e2)**(-0.50)
1373,C5H3+,E,C5H,H2,,,1.00e+01,3.00e+02,4.50e-07 * (Tgas / 3.0e2)**(-0.50)
1374,C5H5+,E,C5H2,H2,H,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1375,C5H5+,E,CH3C4H,H,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1376,C5H5+,E,H2CCCHCCH,H,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1377,C5N+,E,C3N,C2,,,1.00e+01,3.00e+02,3.00e-07 * (Tgas / 3.0e2)**(-0.50)
1378,C6+,E,C4,C2,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1379,C6+,E,C5,C,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1380,C6H+,E,C5H,C,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1381,C6H+,E,C6,H,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1382,C6H2+,E,C6,H2,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1383,C6H2+,E,C6H,H,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1384,C6H3+,E,C6H2,H,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1385,C6H3+,E,C6H,H2,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1386,C6H4+,E,C6H2,H2,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1387,C6H4+,E,C6H,H2,H,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1388,C6H5+,E,C6H2,H2,H,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1389,C6H5+,E,C6H,H2,H2,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1390,C6H7+,E,C6H2,H2,H2,H,1.00e+01,1.00e+03,5.00e-07 * (Tgas / 3.0e2)**(-0.50)
1391,C6H7+,E,C6H6,H,,,1.00e+01,1.00e+03,5.00e-07 * (Tgas / 3.0e2)**(-0.50)
1392,C7+,E,C4,C3,,,1.00e+01,3.00e+02,3.00e-07 * (Tgas / 3.0e2)**(-0.50)
1393,C7+,E,C5,C2,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1394,C7+,E,C6,C,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1395,C7H+,E,C6H,C,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1396,C7H+,E,C7,H,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1397,C7H2+,E,C7,H2,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1398,C7H2+,E,C7H,H,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1399,C7H3+,E,C7H2,H,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1400,C7H3+,E,C7H,H2,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1401,C7H4+,E,C7H2,H2,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1402,C7H4+,E,C7H,H2,H,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1403,CH3C6H2+,E,C7H2,H2,H,,1.00e+01,3.00e+02,3.50e-07 * (Tgas / 3.0e2)**(-0.30)
1404,CH3C6H2+,E,CH3C6H,H,,,1.00e+01,3.00e+02,3.50e-07 * (Tgas / 3.0e2)**(-0.30)
1405,H2CCCHC4H2+,E,C7H2,H2,H,,1.00e+01,3.00e+02,3.50e-07 * (Tgas / 3.0e2)**(-0.30)
1406,H2CCCHC4H2+,E,H2CCCHC4H,H,,,1.00e+01,3.00e+02,3.50e-07 * (Tgas / 3.0e2)**(-0.30)
1407,C7N+,E,C5N,C2,,,1.00e+01,3.00e+02,3.00e-07 * (Tgas / 3.0e2)**(-0.50)
1408,C8+,E,C6,C2,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1409,C8+,E,C7,C,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1410,C8H+,E,C7H,C,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1411,C8H+,E,C8,H,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1412,C8H2+,E,C8,H2,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1413,C8H2+,E,C8H,H,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1414,C8H3+,E,C8H2,H,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1415,C8H3+,E,C8H,H2,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1416,C8H4+,E,C8H2,H2,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1417,C8H4+,E,C8H,H2,H,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1418,C8H5+,E,C8H2,H2,H,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1419,C8H5+,E,C8H,H2,H2,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1420,C9+,E,C7,C2,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1421,C9+,E,C8,C,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1422,C9H+,E,C8H,C,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1423,C9H+,E,C9,H,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1424,C9H2+,E,C9,H2,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1425,C9H2+,E,C9H,H,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1426,C9H3+,E,C9H2,H,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1427,C9H3+,E,C9H,H2,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1428,C9H4+,E,C9H2,H2,,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1429,C9H4+,E,C9H,H2,H,,1.00e+01,3.00e+02,1.00e-06 * (Tgas / 3.0e2)**(-0.30)
1430,C9N+,E,C7N,C2,,,1.00e+01,3.00e+02,3.00e-07 * (Tgas / 3.0e2)**(-0.50)
1431,CCP+,E,CP,C,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1432,CCP+,E,P,C2,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1433,CCl+,E,Cl,C,,,1.00e+01,3.00e+02,3.00e-07 * (Tgas / 3.0e2)**(-0.50)
1434,CF+,E,C,F,,,1.00e+01,3.00e+02,5.20e-08 * (Tgas / 3.0e2)**(-0.80)
1435,CH+,E,C,H,,,1.00e+01,3.00e+02,1.50e-07 * (Tgas / 3.0e2)**(-0.42)
1436,CH2+,E,C,H2,,,1.00e+01,1.00e+03,7.68e-08 * (Tgas / 3.0e2)**(-0.60)
1437,CH2+,E,C,H,H,,1.00e+01,1.00e+03,4.03e-07 * (Tgas / 3.0e2)**(-0.60)
1438,CH2+,E,CH,H,,,1.00e+01,1.00e+03,1.60e-07 * (Tgas / 3.0e2)**(-0.60)
1439,H2CCCH+,E,C2H2,CH,,,1.00e+01,3.00e+02,5.00e-08 * (Tgas / 3.0e2)**(-0.50)
1440,H2CCCH+,E,H2CCC,H,,,1.00e+01,3.00e+02,5.00e-08 * (Tgas / 3.0e2)**(-0.50)
1441,CH2CHCN+,E,HC3N,H2,,,1.00e+01,4.10e+04,1.50e-07 * (Tgas / 3.0e2)**(-0.50)
1442,CH2CHCNH+,E,C2H2,HCN,H,,1.00e+01,1.00e+03,4.45e-07 * (Tgas / 3.0e2)**(-0.80)
1443,CH2CHCNH+,E,C2H3,HNC,,,1.00e+01,1.00e+03,4.45e-07 * (Tgas / 3.0e2)**(-0.80)
1444,CH2CHCNH+,E,CH2CHCN,H,,,1.00e+01,1.00e+03,8.90e-07 * (Tgas / 3.0e2)**(-0.80)
1445,CH2CN+,E,CN,CH2,,,1.00e+01,3.00e+02,2.00e-07 * (Tgas / 3.0e2)**(-0.50)
1446,CH2CN+,E,HCN,CH,,,1.00e+01,3.00e+02,2.00e-07 * (Tgas / 3.0e2)**(-0.50)
1447,CH2CN+,E,C2N,H,H,,1.00e+01,3.00e+02,2.00e-07 * (Tgas / 3.0e2)**(-0.50)
1448,CH2CN+,E,HCCN,H,,,1.00e+01,3.00e+02,3.00e-07 * (Tgas / 3.0e2)**(-0.50)
1449,H2CCO+,E,C2,H2O,,,1.00e+01,3.00e+02,2.00e-07 * (Tgas / 3.0e2)**(-0.50)
1450,H2CCO+,E,C2H2,O,,,1.00e+01,3.00e+02,2.00e-07 * (Tgas / 3.0e2)**(-0.50)
1451,H2CCO+,E,CO,CH2,,,1.00e+01,3.00e+02,2.00e-07 * (Tgas / 3.0e2)**(-0.50)
1452,CH2NH2+,E,CH2NH,H,,,1.00e+01,3.00e+02,2.33e-07 * (Tgas / 3.0e2)**(-0.50)
1453,CH2NH2+,E,NH2,CH2,,,1.00e+01,3.00e+02,2.33e-07 * (Tgas / 3.0e2)**(-0.50)
1454,CH3+,E,CH2,H,,,1.00e+01,3.00e+02,7.75e-08 * (Tgas / 3.0e2)**(-0.50)
