@format:idx,R,R,P,P,P,P,tmin,tmax,rate
@common:user_Auv,user_alb,user_xi,user_AuvAv,user_rbinscale,user_rscale,user_Gstar,user_Auv_star,user_Gcomp,user_Auv_comp
81,H2,O-,H2O,E,,,1.00e+01,4.10e+04,7.00e-10
82,H,C-,CH,E,,,1.00e+01,4.10e+04,5.00e-10
83,H,C10-,C10H,E,,,1.00e+01,3.00e+02,1.80e-10
84,H,C10H-,C10H2,E,,,1.00e+01,3.00e+02,1.00e-09
85,H,C2-,C2H,E,,,1.00e+01,3.00e+02,7.70e-10
86,H,C2H-,C2H2,E,,,1.00e+01,3.00e+02,1.60e-09
87,H,C3-,C3H,E,,,1.00e+01,3.00e+02,7.70e-09
88,H,C3H-,H2CCC,E,,,1.00e+01,3.00e+02,1.00e-10
89,H,C3N-,HC3N,E,,,1.00e+01,4.10e+04,5.40e-10
90,H,C4-,C4H,E,,,1.00e+01,3.00e+02,6.20e-10
91,H,C4H-,C4H2,E,,,1.00e+01,3.00e+02,8.30e-10
92,H,C5-,C5H,E,,,1.00e+01,3.00e+02,6.20e-10
93,H,C5H-,C5H2,E,,,1.00e+01,3.00e+02,1.00e-09
94,H,C5N-,HC5N,E,,,1.00e+01,4.10e+04,5.80e-10
95,H,C7N-,HC7N,E,,,1.00e+01,4.10e+04,5.80e-10
96,H,C6-,C6H,E,,,1.00e+01,3.00e+02,6.10e-10
97,H,C6H-,C6H2,E,,,1.00e+01,3.00e+02,5.00e-10
98,H,C7-,C7H,E,,,1.00e+01,3.00e+02,2.83e-10
99,H,C7H-,C7H2,E,,,1.00e+01,3.00e+02,7.40e-10
100,H,C8-,C8H,E,,,1.00e+01,3.00e+02,2.41e-10
101,H,C8H-,C8H2,E,,,1.00e+01,3.00e+02,1.00e-09
102,H,C9-,C9H,E,,,1.00e+01,3.00e+02,1.22e-10
103,H,C9H-,C9H2,E,,,1.00e+01,3.00e+02,1.00e-09
104,H,C11-,C11H,E,,,1.00e+01,3.00e+02,1.80e-10
105,H,C11H-,C11H2,E,,,1.00e+01,3.00e+02,1.00e-09
106,H,C9N-,HC9N,E,,,1.00e+01,4.10e+04,5.80e-10
107,H,C11N-,HC11N,E,,,1.00e+01,4.10e+04,5.80e-10
108,H,CH-,CH2,E,,,1.00e+01,3.00e+02,1.00e-10
109,H,CN-,HCN,E,,,1.00e+01,4.10e+04,6.30e-10
110,H,O-,OH,E,,,1.00e+01,4.10e+04,5.00e-10
111,H,OH-,H2O,E,,,1.00e+01,4.10e+04,1.40e-09
112,H,S-,HS,E,,,1.00e+01,4.10e+04,1.00e-10
113,N,C2-,C2N,E,,,1.00e+01,3.00e+02,1.15e-10
114,N,C2H-,C2N,H,E,,1.00e+01,3.00e+02,3.00e-12
115,N,C3-,C3N,E,,,1.00e+01,3.00e+02,1.00e-10
116,N,C3H-,HC3N,E,,,1.00e+01,3.00e+02,5.00e-12
117,N,C4-,C4N,E,,,1.00e+01,3.00e+02,1.00e-10
118,N,C4H-,CN,C3H,E,,1.00e+01,3.00e+02,3.00e-12
119,N,C5-,C5N,E,,,1.00e+01,3.00e+02,1.35e-10
120,N,C5H-,HC5N,E,,,1.00e+01,3.00e+02,5.00e-12
121,N,C7-,C7N,E,,,1.00e+01,3.00e+02,1.10e-10
